Titulo,Autor,Editorial,Anio
Cien años de soledad,Gabriel García Márquez,Sudamericana,1967
Don Quijote de la Mancha,Miguel de Cervantes,Francisco de Robles,1605
1984,George Orwell,Secker & Warburg,1949
Orgullo y prejuicio,Jane Austen,T. Egerton,1813
Matar a un ruiseñor,Harper Lee,J.B. Lippincott & Co.,1960
El gran Gatsby,F. Scott Fitzgerald,Charles Scribner's Sons,1925
Crimen y castigo,Fiódor Dostoyevski,The Russian Messenger,1866
En busca del tiempo perdido,Marcel Proust,Grasset,1913
Ulises,James Joyce,Shakespeare and Company,1922
La Odisea,Homero,Desconocida,800
Madame Bovary,Gustave Flaubert,Revue de Paris,1856
El retrato de Dorian Gray,Oscar Wilde,Ward Lock & Co.,1890
La metamorfosis,Franz Kafka,Kurt Wolff Verlag,1915
El extranjero,Albert Camus,Gallimard,1942
Fahrenheit 451,Ray Bradbury,Ballantine Books,1953
El guardián entre el centeno,J.D. Salinger,Little Brown and Company,1951
El señor de los anillos,J.R.R. Tolkien,Allen & Unwin,1954
Moby-Dick,Herman Melville,Harper & Brothers,1851
La divina comedia,Dante Alighieri,Desconocida,1320
Los miserables,Victor Hugo,A. Lacroix Verboeckhoven & Cie,1862
El nombre de la rosa,Umberto Eco,Bompiani,1980
Cumbres borrascosas,Emily Bronte,Thomas Cautley Newby,1847
El principito,Antoine de Saint-Exupéry,Reynal & Hitchcock,1943
El código Da Vinci,Dan Brown,Doubleday,2003
La sombra del viento,Carlos Ruiz Zafón,Planeta,2001
El amor en los tiempos del cólera,Gabriel García Márquez,Oveja Negra,1985
La casa de los espíritus,Isabel Allende,Plaza & Janés,1982
El alquimista,Paulo Coelho,HarperTorch,1988
Rayuela,Julio Cortázar,Sudamericana,1963
Cien años de soledad,Gabriel García Márquez,Sudamericana,1967
